row_id,uid,strain,condition,replicate,fov,image_cell_id,source_folder
89,YET563_BR3_157_01,YET563,ΔSHE2,BR3,01,157,../../240909/YET563 BR3/output/YET563_ASH1CLB2Q670_SRL1cal610_SUN4Q570_01
3517,YET572_BR3_166_04,YET572,ΔSHE3,BR3,04,166,../../240909/YET572 BR3/output/YET572_ASH1CLB2Q670_SRL1cal610_SUN4Q570_04
17584,YET918_BR3_13_07,YET918,ΔSUN4,BR3,07,13,../../250822/YET918 BR3/output/YET918_ASH1CLB2Q670_SRL1cal610_SUN4Q570_07
17659,YET918_BR3_122_07,YET918,ΔSUN4,BR3,07,122,../../250822/YET918 BR3/output/YET918_ASH1CLB2Q670_SRL1cal610_SUN4Q570_07
18309,YET918_BR3_245_05,YET918,ΔSUN4,BR3,05,245,../../250822/YET918 BR3/output/YET918_ASH1CLB2Q670_SRL1cal610_SUN4Q570_05
18825,YET918_BR3_42_03,YET918,ΔSUN4,BR3,03,42,../../250822/YET918 BR3/output/YET918_ASH1CLB2Q670_SRL1cal610_SUN4Q570_03
19261,YET918_BR3_229_02,YET918,ΔSUN4,BR3,02,229,../../250822/YET918 BR3/output/YET918_ASH1CLB2Q670_SRL1cal610_SUN4Q570_02
19271,YET918_BR3_245_02,YET918,ΔSUN4,BR3,02,245,../../250822/YET918 BR3/output/YET918_ASH1CLB2Q670_SRL1cal610_SUN4Q570_02
19293,YET918_BR3_273_02,YET918,ΔSUN4,BR3,02,273,../../250822/YET918 BR3/output/YET918_ASH1CLB2Q670_SRL1cal610_SUN4Q570_02
23236,YET563_BR1_30_02,YET563,ΔSHE2,BR1,02,30,../../220601/yET563 BR1/output/yET563-SUN4Q570-SRL1CFR610-ASH1Q670_02
23321,YET563_BR1_120_02,YET563,ΔSHE2,BR1,02,120,../../220601/yET563 BR1/output/yET563-SUN4Q570-SRL1CFR610-ASH1Q670_02
25836,YET915_BR3_37_06,YET915,WT,BR3,06,37,../../220601/yET915 BR3/output/yET915-SUN4Q570-SRL1CFR610-ASH1CLB2Q670_06
26243,YET916_BR2_54_03,YET916,ΔSSD1,BR2,03,54,../../220601/yET916 BR2/output/yET916-SUN4Q570-SRL1CFR610-ASH1CLB2Q670_03
27097,YET919_BR1_38_02,YET919,ΔMPT5,BR1,02,38,../../220601/yET919 BR1/output/yET919-SUN4Q570-SRL1CFR610-ASH1CLB2Q670_02
28500,YET916_BR3_47_02,YET916,ΔSSD1,BR3,02,47,../../220601/yET916 BR3/output/yET916-SUN4Q570-SRL1CFR610-ASH1CLB2Q670_02
28510,YET916_BR3_60_02,YET916,ΔSSD1,BR3,02,60,../../220601/yET916 BR3/output/yET916-SUN4Q570-SRL1CFR610-ASH1CLB2Q670_02
29027,YET916_BR3_44_05,YET916,ΔSSD1,BR3,05,44,../../220601/yET916 BR3/output/yET916-SUN4Q570-SRL1CFR610-ASH1CLB2Q670_05
29037,YET916_BR3_57_05,YET916,ΔSSD1,BR3,05,57,../../220601/yET916 BR3/output/yET916-SUN4Q570-SRL1CFR610-ASH1CLB2Q670_05
29055,YET916_BR3_82_05,YET916,ΔSSD1,BR3,05,82,../../220601/yET916 BR3/output/yET916-SUN4Q570-SRL1CFR610-ASH1CLB2Q670_05
31726,YET572_BR2_49_03,YET572,ΔSHE3,BR2,03,49,../../220601/yET572 BR2/output/yET572-BR2-SUN4Q570-SRL1CFR610-ASH1Q670_03
