row_id,uid,strain,condition,replicate,fov,image_cell_id,source_folder
5149,YET915_BR5_60_01,YET915,WT,BR5,01,60,../../240909/YET915 BR5/output/YET915_ASH1CLB2Q670_SRL1cal610_SUN4Q570_01
5433,YET915_BR5_98_02,YET915,WT,BR5,02,98,../../240909/YET915 BR5/output/YET915_ASH1CLB2Q670_SRL1cal610_SUN4Q570_02
24699,YET915_BR3_168_02,YET915,WT,BR3,02,168,../../220601/yET915 BR3/output/yET915-SUN4Q570-SRL1CFR610-ASH1CLB2Q670_02
24702,YET915_BR3_173_02,YET915,WT,BR3,02,173,../../220601/yET915 BR3/output/yET915-SUN4Q570-SRL1CFR610-ASH1CLB2Q670_02
24708,YET915_BR3_194_02,YET915,WT,BR3,02,194,../../220601/yET915 BR3/output/yET915-SUN4Q570-SRL1CFR610-ASH1CLB2Q670_02
24905,YET915_BR3_6_01,YET915,WT,BR3,01,6,../../220601/yET915 BR3/output/yET915-SUN4Q570-SRL1CFR610-ASH1CLB2Q670_01
25053,YET915_BR3_2_03,YET915,WT,BR3,03,2,../../220601/yET915 BR3/output/yET915-SUN4Q570-SRL1CFR610-ASH1CLB2Q670_03
25064,YET915_BR3_15_03,YET915,WT,BR3,03,15,../../220601/yET915 BR3/output/yET915-SUN4Q570-SRL1CFR610-ASH1CLB2Q670_03
25109,YET915_BR3_74_03,YET915,WT,BR3,03,74,../../220601/yET915 BR3/output/yET915-SUN4Q570-SRL1CFR610-ASH1CLB2Q670_03
25126,YET915_BR3_91_03,YET915,WT,BR3,03,91,../../220601/yET915 BR3/output/yET915-SUN4Q570-SRL1CFR610-ASH1CLB2Q670_03
32125,YET915_BR1_11_07,YET915,WT,BR1,07,11,../../220429/yET915 BR1/output/yET915rp1-ASH1CLB2Q670-SRL1CFL610-SUN4Q570_07
32423,YET915_BR1_14_09,YET915,WT,BR1,09,14,../../220429/yET915 BR1/output/yET915rp1-ASH1CLB2Q670-SRL1CFL610-SUN4Q570_09
32577,YET915_BR2_7_18,YET915,WT,BR2,18,7,../../220429/yET915 BR2/output/yET915-BR2-ASH1CLB2Q670-SRL1CFL610-SUN4Q570_18
32640,YET915_BR2_79_18,YET915,WT,BR2,18,79,../../220429/yET915 BR2/output/yET915-BR2-ASH1CLB2Q670-SRL1CFL610-SUN4Q570_18
32651,YET915_BR2_91_18,YET915,WT,BR2,18,91,../../220429/yET915 BR2/output/yET915-BR2-ASH1CLB2Q670-SRL1CFL610-SUN4Q570_18
32736,YET915_BR2_196_18,YET915,WT,BR2,18,196,../../220429/yET915 BR2/output/yET915-BR2-ASH1CLB2Q670-SRL1CFL610-SUN4Q570_18
33071,YET915_BR2_10_19,YET915,WT,BR2,19,10,../../220429/yET915 BR2/output/yET915-BR2-ASH1CLB2Q670-SRL1CFL610-SUN4Q570_19
33545,YET915_BR2_25_20,YET915,WT,BR2,20,25,../../220429/yET915 BR2/output/yET915-BR2-ASH1CLB2Q670-SRL1CFL610-SUN4Q570_20
33547,YET915_BR2_27_20,YET915,WT,BR2,20,27,../../220429/yET915 BR2/output/yET915-BR2-ASH1CLB2Q670-SRL1CFL610-SUN4Q570_20
33624,YET915_BR2_122_20,YET915,WT,BR2,20,122,../../220429/yET915 BR2/output/yET915-BR2-ASH1CLB2Q670-SRL1CFL610-SUN4Q570_20
