row_id,uid,strain,condition,replicate,fov,image_cell_id,source_folder
4901,YET915_BR5_115_04,YET915,WT,BR5,04,115,../../240909/YET915 BR5/output/YET915_ASH1CLB2Q670_SRL1cal610_SUN4Q570_04
4927,YET915_BR5_9_05,YET915,WT,BR5,05,9,../../240909/YET915 BR5/output/YET915_ASH1CLB2Q670_SRL1cal610_SUN4Q570_05
5110,YET915_BR5_11_01,YET915,WT,BR5,01,11,../../240909/YET915 BR5/output/YET915_ASH1CLB2Q670_SRL1cal610_SUN4Q570_01
5715,YET915_BR5_128_03,YET915,WT,BR5,03,128,../../240909/YET915 BR5/output/YET915_ASH1CLB2Q670_SRL1cal610_SUN4Q570_03
24673,YET915_BR3_95_02,YET915,WT,BR3,02,95,../../220601/yET915 BR3/output/yET915-SUN4Q570-SRL1CFR610-ASH1CLB2Q670_02
24713,YET915_BR3_228_02,YET915,WT,BR3,02,228,../../220601/yET915 BR3/output/yET915-SUN4Q570-SRL1CFR610-ASH1CLB2Q670_02
25386,YET915_BR3_41_04,YET915,WT,BR3,04,41,../../220601/yET915 BR3/output/yET915-SUN4Q570-SRL1CFR610-ASH1CLB2Q670_04
25832,YET915_BR3_32_06,YET915,WT,BR3,06,32,../../220601/yET915 BR3/output/yET915-SUN4Q570-SRL1CFR610-ASH1CLB2Q670_06
27959,YET915_BR4_211_04,YET915,WT,BR4,04,211,../../220601/yET915 BR4/output/yET915-SUN4Q570-SRL1CFR610-ASH1CLB2Q670_04
28110,YET915_BR4_139_03,YET915,WT,BR4,03,139,../../220601/yET915 BR4/output/yET915-SUN4Q570-SRL1CFR610-ASH1CLB2Q670_03
32316,YET915_BR1_56_08,YET915,WT,BR1,08,56,../../220429/yET915 BR1/output/yET915rp1-ASH1CLB2Q670-SRL1CFL610-SUN4Q570_08
32647,YET915_BR2_87_18,YET915,WT,BR2,18,87,../../220429/yET915 BR2/output/yET915-BR2-ASH1CLB2Q670-SRL1CFL610-SUN4Q570_18
32701,YET915_BR2_150_18,YET915,WT,BR2,18,150,../../220429/yET915 BR2/output/yET915-BR2-ASH1CLB2Q670-SRL1CFL610-SUN4Q570_18
33074,YET915_BR2_13_19,YET915,WT,BR2,19,13,../../220429/yET915 BR2/output/yET915-BR2-ASH1CLB2Q670-SRL1CFL610-SUN4Q570_19
33161,YET915_BR2_120_19,YET915,WT,BR2,19,120,../../220429/yET915 BR2/output/yET915-BR2-ASH1CLB2Q670-SRL1CFL610-SUN4Q570_19
33588,YET915_BR2_81_20,YET915,WT,BR2,20,81,../../220429/yET915 BR2/output/yET915-BR2-ASH1CLB2Q670-SRL1CFL610-SUN4Q570_20
33636,YET915_BR2_135_20,YET915,WT,BR2,20,135,../../220429/yET915 BR2/output/yET915-BR2-ASH1CLB2Q670-SRL1CFL610-SUN4Q570_20
33981,YET915_BR2_115_22,YET915,WT,BR2,22,115,../../220429/yET915 BR2/output/yET915-BR2-ASH1CLB2Q670-SRL1CFL610-SUN4Q570_22
34417,YET915_BR2_55_23,YET915,WT,BR2,23,55,../../220429/yET915 BR2/output/yET915-BR2-ASH1CLB2Q670-SRL1CFL610-SUN4Q570_23
34472,YET915_BR2_120_23,YET915,WT,BR2,23,120,../../220429/yET915 BR2/output/yET915-BR2-ASH1CLB2Q670-SRL1CFL610-SUN4Q570_23
