row_id,uid,strain,condition,replicate,fov,image_cell_id,source_folder
4941,YET915_BR5_27_05,YET915,WT,BR5,05,27,../../240909/YET915 BR5/output/YET915_ASH1CLB2Q670_SRL1cal610_SUN4Q570_05
4946,YET915_BR5_34_05,YET915,WT,BR5,05,34,../../240909/YET915 BR5/output/YET915_ASH1CLB2Q670_SRL1cal610_SUN4Q570_05
4975,YET915_BR5_78_05,YET915,WT,BR5,05,78,../../240909/YET915 BR5/output/YET915_ASH1CLB2Q670_SRL1cal610_SUN4Q570_05
5126,YET915_BR5_30_01,YET915,WT,BR5,01,30,../../240909/YET915 BR5/output/YET915_ASH1CLB2Q670_SRL1cal610_SUN4Q570_01
5428,YET915_BR5_91_02,YET915,WT,BR5,02,91,../../240909/YET915 BR5/output/YET915_ASH1CLB2Q670_SRL1cal610_SUN4Q570_02
5437,YET915_BR5_102_02,YET915,WT,BR5,02,102,../../240909/YET915 BR5/output/YET915_ASH1CLB2Q670_SRL1cal610_SUN4Q570_02
5697,YET915_BR5_83_03,YET915,WT,BR5,03,83,../../240909/YET915 BR5/output/YET915_ASH1CLB2Q670_SRL1cal610_SUN4Q570_03
25083,YET915_BR3_37_03,YET915,WT,BR3,03,37,../../220601/yET915 BR3/output/yET915-SUN4Q570-SRL1CFR610-ASH1CLB2Q670_03
25391,YET915_BR3_47_04,YET915,WT,BR3,04,47,../../220601/yET915 BR3/output/yET915-SUN4Q570-SRL1CFR610-ASH1CLB2Q670_04
25586,YET915_BR3_9_05,YET915,WT,BR3,05,9,../../220601/yET915 BR3/output/yET915-SUN4Q570-SRL1CFR610-ASH1CLB2Q670_05
25614,YET915_BR3_45_05,YET915,WT,BR3,05,45,../../220601/yET915 BR3/output/yET915-SUN4Q570-SRL1CFR610-ASH1CLB2Q670_05
27939,YET915_BR4_99_04,YET915,WT,BR4,04,99,../../220601/yET915 BR4/output/yET915-SUN4Q570-SRL1CFR610-ASH1CLB2Q670_04
28176,YET915_BR4_49_02,YET915,WT,BR4,02,49,../../220601/yET915 BR4/output/yET915-SUN4Q570-SRL1CFR610-ASH1CLB2Q670_02
28193,YET915_BR4_84_02,YET915,WT,BR4,02,84,../../220601/yET915 BR4/output/yET915-SUN4Q570-SRL1CFR610-ASH1CLB2Q670_02
28204,YET915_BR4_102_02,YET915,WT,BR4,02,102,../../220601/yET915 BR4/output/yET915-SUN4Q570-SRL1CFR610-ASH1CLB2Q670_02
28340,YET915_BR4_140_01,YET915,WT,BR4,01,140,../../220601/yET915 BR4/output/yET915-SUN4Q570-SRL1CFR610-ASH1CLB2Q670_01
32131,YET915_BR1_17_07,YET915,WT,BR1,07,17,../../220429/yET915 BR1/output/yET915rp1-ASH1CLB2Q670-SRL1CFL610-SUN4Q570_07
32161,YET915_BR1_58_07,YET915,WT,BR1,07,58,../../220429/yET915 BR1/output/yET915rp1-ASH1CLB2Q670-SRL1CFL610-SUN4Q570_07
33996,YET915_BR2_133_22,YET915,WT,BR2,22,133,../../220429/yET915 BR2/output/yET915-BR2-ASH1CLB2Q670-SRL1CFL610-SUN4Q570_22
34455,YET915_BR2_100_23,YET915,WT,BR2,23,100,../../220429/yET915 BR2/output/yET915-BR2-ASH1CLB2Q670-SRL1CFL610-SUN4Q570_23
