row_id,uid,strain,condition,replicate,fov,image_cell_id,source_folder
11524,YET919_BR3_80_04,YET919,ΔMPT5,BR3,04,80,../../240909/YET919 BR3/output/YET919_ASH1CLB2Q670_SRL1cal610_SUN4Q570_04
12062,YET919_BR3_64_01,YET919,ΔMPT5,BR3,01,64,../../240909/YET919 BR3/output/YET919_ASH1CLB2Q670_SRL1cal610_SUN4Q570_01
12068,YET919_BR3_74_01,YET919,ΔMPT5,BR3,01,74,../../240909/YET919 BR3/output/YET919_ASH1CLB2Q670_SRL1cal610_SUN4Q570_01
12081,YET919_BR3_95_01,YET919,ΔMPT5,BR3,01,95,../../240909/YET919 BR3/output/YET919_ASH1CLB2Q670_SRL1cal610_SUN4Q570_01
12112,YET919_BR3_155_01,YET919,ΔMPT5,BR3,01,155,../../240909/YET919 BR3/output/YET919_ASH1CLB2Q670_SRL1cal610_SUN4Q570_01
12128,YET919_BR3_182_01,YET919,ΔMPT5,BR3,01,182,../../240909/YET919 BR3/output/YET919_ASH1CLB2Q670_SRL1cal610_SUN4Q570_01
12151,YET919_BR3_223_01,YET919,ΔMPT5,BR3,01,223,../../240909/YET919 BR3/output/YET919_ASH1CLB2Q670_SRL1cal610_SUN4Q570_01
12654,YET919_BR3_52_02,YET919,ΔMPT5,BR3,02,52,../../240909/YET919 BR3/output/YET919_ASH1CLB2Q670_SRL1cal610_SUN4Q570_02
12741,YET919_BR3_255_02,YET919,ΔMPT5,BR3,02,255,../../240909/YET919 BR3/output/YET919_ASH1CLB2Q670_SRL1cal610_SUN4Q570_02
13013,YET919_BR3_95_03,YET919,ΔMPT5,BR3,03,95,../../240909/YET919 BR3/output/YET919_ASH1CLB2Q670_SRL1cal610_SUN4Q570_03
13102,YET919_BR3_285_03,YET919,ΔMPT5,BR3,03,285,../../240909/YET919 BR3/output/YET919_ASH1CLB2Q670_SRL1cal610_SUN4Q570_03
26667,YET919_BR1_4_01,YET919,ΔMPT5,BR1,01,4,../../220601/yET919 BR1/output/yET919-SUN4Q570-SRL1CFR610-ASH1CLB2Q670_01
26879,YET919_BR1_94_07,YET919,ΔMPT5,BR1,07,94,../../220601/yET919 BR1/output/yET919-SUN4Q570-SRL1CFR610-ASH1CLB2Q670_07
26891,YET919_BR1_137_07,YET919,ΔMPT5,BR1,07,137,../../220601/yET919 BR1/output/yET919-SUN4Q570-SRL1CFR610-ASH1CLB2Q670_07
27413,YET919_BR1_60_04,YET919,ΔMPT5,BR1,04,60,../../220601/yET919 BR1/output/yET919-SUN4Q570-SRL1CFR610-ASH1CLB2Q670_04
27577,YET919_BR1_59_05,YET919,ΔMPT5,BR1,05,59,../../220601/yET919 BR1/output/yET919-SUN4Q570-SRL1CFR610-ASH1CLB2Q670_05
29602,YET919_BR2_38_03,YET919,ΔMPT5,BR2,03,38,../../220601/yET919 BR2/output/yET919-SUN4Q570-SRL1CFR610-ASH1CLB2Q670_03
29749,YET919_BR2_34_04,YET919,ΔMPT5,BR2,04,34,../../220601/yET919 BR2/output/yET919-SUN4Q570-SRL1CFR610-ASH1CLB2Q670_04
29761,YET919_BR2_46_04,YET919,ΔMPT5,BR2,04,46,../../220601/yET919 BR2/output/yET919-SUN4Q570-SRL1CFR610-ASH1CLB2Q670_04
29911,YET919_BR2_54_05,YET919,ΔMPT5,BR2,05,54,../../220601/yET919 BR2/output/yET919-SUN4Q570-SRL1CFR610-ASH1CLB2Q670_05
