row_id,uid,strain,condition,replicate,fov,image_cell_id,source_folder
11498,YET919_BR3_34_04,YET919,ΔMPT5,BR3,04,34,../../240909/YET919 BR3/output/YET919_ASH1CLB2Q670_SRL1cal610_SUN4Q570_04
11606,YET919_BR3_225_04,YET919,ΔMPT5,BR3,04,225,../../240909/YET919 BR3/output/YET919_ASH1CLB2Q670_SRL1cal610_SUN4Q570_04
11628,YET919_BR3_259_04,YET919,ΔMPT5,BR3,04,259,../../240909/YET919 BR3/output/YET919_ASH1CLB2Q670_SRL1cal610_SUN4Q570_04
11644,YET919_BR3_278_04,YET919,ΔMPT5,BR3,04,278,../../240909/YET919 BR3/output/YET919_ASH1CLB2Q670_SRL1cal610_SUN4Q570_04
12099,YET919_BR3_134_01,YET919,ΔMPT5,BR3,01,134,../../240909/YET919 BR3/output/YET919_ASH1CLB2Q670_SRL1cal610_SUN4Q570_01
12689,YET919_BR3_134_02,YET919,ΔMPT5,BR3,02,134,../../240909/YET919 BR3/output/YET919_ASH1CLB2Q670_SRL1cal610_SUN4Q570_02
12712,YET919_BR3_195_02,YET919,ΔMPT5,BR3,02,195,../../240909/YET919 BR3/output/YET919_ASH1CLB2Q670_SRL1cal610_SUN4Q570_02
12981,YET919_BR3_23_03,YET919,ΔMPT5,BR3,03,23,../../240909/YET919 BR3/output/YET919_ASH1CLB2Q670_SRL1cal610_SUN4Q570_03
12998,YET919_BR3_63_03,YET919,ΔMPT5,BR3,03,63,../../240909/YET919 BR3/output/YET919_ASH1CLB2Q670_SRL1cal610_SUN4Q570_03
13074,YET919_BR3_218_03,YET919,ΔMPT5,BR3,03,218,../../240909/YET919 BR3/output/YET919_ASH1CLB2Q670_SRL1cal610_SUN4Q570_03
13090,YET919_BR3_253_03,YET919,ΔMPT5,BR3,03,253,../../240909/YET919 BR3/output/YET919_ASH1CLB2Q670_SRL1cal610_SUN4Q570_03
26861,YET919_BR1_54_07,YET919,ΔMPT5,BR1,07,54,../../220601/yET919 BR1/output/yET919-SUN4Q570-SRL1CFR610-ASH1CLB2Q670_07
26885,YET919_BR1_108_07,YET919,ΔMPT5,BR1,07,108,../../220601/yET919 BR1/output/yET919-SUN4Q570-SRL1CFR610-ASH1CLB2Q670_07
27096,YET919_BR1_37_02,YET919,ΔMPT5,BR1,02,37,../../220601/yET919 BR1/output/yET919-SUN4Q570-SRL1CFR610-ASH1CLB2Q670_02
27370,YET919_BR1_8_04,YET919,ΔMPT5,BR1,04,8,../../220601/yET919 BR1/output/yET919-SUN4Q570-SRL1CFR610-ASH1CLB2Q670_04
27760,YET919_BR1_47_06,YET919,ΔMPT5,BR1,06,47,../../220601/yET919 BR1/output/yET919-SUN4Q570-SRL1CFR610-ASH1CLB2Q670_06
29310,YET919_BR2_38_01,YET919,ΔMPT5,BR2,01,38,../../220601/yET919 BR2/output/yET919-SUN4Q570-SRL1CFR610-ASH1CLB2Q670_01
29582,YET919_BR2_15_03,YET919,ΔMPT5,BR2,03,15,../../220601/yET919 BR2/output/yET919-SUN4Q570-SRL1CFR610-ASH1CLB2Q670_03
29731,YET919_BR2_13_04,YET919,ΔMPT5,BR2,04,13,../../220601/yET919 BR2/output/yET919-SUN4Q570-SRL1CFR610-ASH1CLB2Q670_04
29914,YET919_BR2_57_05,YET919,ΔMPT5,BR2,05,57,../../220601/yET919 BR2/output/yET919-SUN4Q570-SRL1CFR610-ASH1CLB2Q670_05
