row_id,uid,strain,condition,replicate,fov,image_cell_id,source_folder
29,YET563_BR3_59_01,YET563,ΔSHE2,BR3,01,59,../../240909/YET563 BR3/output/YET563_ASH1CLB2Q670_SRL1cal610_SUN4Q570_01
75,YET563_BR3_137_01,YET563,ΔSHE2,BR3,01,137,../../240909/YET563 BR3/output/YET563_ASH1CLB2Q670_SRL1cal610_SUN4Q570_01
148,YET563_BR3_243_01,YET563,ΔSHE2,BR3,01,243,../../240909/YET563 BR3/output/YET563_ASH1CLB2Q670_SRL1cal610_SUN4Q570_01
150,YET563_BR3_247_01,YET563,ΔSHE2,BR3,01,247,../../240909/YET563 BR3/output/YET563_ASH1CLB2Q670_SRL1cal610_SUN4Q570_01
204,YET563_BR3_321_01,YET563,ΔSHE2,BR3,01,321,../../240909/YET563 BR3/output/YET563_ASH1CLB2Q670_SRL1cal610_SUN4Q570_01
728,YET563_BR3_68_02,YET563,ΔSHE2,BR3,02,68,../../240909/YET563 BR3/output/YET563_ASH1CLB2Q670_SRL1cal610_SUN4Q570_02
1248,YET563_BR3_42_03,YET563,ΔSHE2,BR3,03,42,../../240909/YET563 BR3/output/YET563_ASH1CLB2Q670_SRL1cal610_SUN4Q570_03
1280,YET563_BR3_98_03,YET563,ΔSHE2,BR3,03,98,../../240909/YET563 BR3/output/YET563_ASH1CLB2Q670_SRL1cal610_SUN4Q570_03
1292,YET563_BR3_118_03,YET563,ΔSHE2,BR3,03,118,../../240909/YET563 BR3/output/YET563_ASH1CLB2Q670_SRL1cal610_SUN4Q570_03
1343,YET563_BR3_185_03,YET563,ΔSHE2,BR3,03,185,../../240909/YET563 BR3/output/YET563_ASH1CLB2Q670_SRL1cal610_SUN4Q570_03
1345,YET563_BR3_187_03,YET563,ΔSHE2,BR3,03,187,../../240909/YET563 BR3/output/YET563_ASH1CLB2Q670_SRL1cal610_SUN4Q570_03
2558,YET563_BR3_42_05,YET563,ΔSHE2,BR3,05,42,../../240909/YET563 BR3/output/YET563_ASH1CLB2Q670_SRL1cal610_SUN4Q570_05
2586,YET563_BR3_77_05,YET563,ΔSHE2,BR3,05,77,../../240909/YET563 BR3/output/YET563_ASH1CLB2Q670_SRL1cal610_SUN4Q570_05
23237,YET563_BR1_31_02,YET563,ΔSHE2,BR1,02,31,../../220601/yET563 BR1/output/yET563-SUN4Q570-SRL1CFR610-ASH1Q670_02
23242,YET563_BR1_37_02,YET563,ΔSHE2,BR1,02,37,../../220601/yET563 BR1/output/yET563-SUN4Q570-SRL1CFR610-ASH1Q670_02
23322,YET563_BR1_121_02,YET563,ΔSHE2,BR1,02,121,../../220601/yET563 BR1/output/yET563-SUN4Q570-SRL1CFR610-ASH1Q670_02
23611,YET563_BR1_39_03,YET563,ΔSHE2,BR1,03,39,../../220601/yET563 BR1/output/yET563-SUN4Q570-SRL1CFR610-ASH1Q670_03
23848,YET563_BR1_45_05,YET563,ΔSHE2,BR1,05,45,../../220601/yET563 BR1/output/yET563-SUN4Q570-SRL1CFR610-ASH1Q670_05
30313,YET563_BR2_34_01,YET563,ΔSHE2,BR2,01,34,../../220601/yET563 BR2/output/yET563-SUN4Q570-SRL1CFR610-ASH1Q670_01
30845,YET563_BR2_33_04,YET563,ΔSHE2,BR2,04,33,../../220601/yET563 BR2/output/yET563-SUN4Q570-SRL1CFR610-ASH1Q670_04
