row_id,uid,strain,condition,replicate,fov,image_cell_id,source_folder
3103,YET572_BR3_48_03,YET572,ΔSHE3,BR3,03,48,../../240909/YET572 BR3/output/YET572_ASH1CLB2Q670_SRL1cal610_SUN4Q570_03
3109,YET572_BR3_57_03,YET572,ΔSHE3,BR3,03,57,../../240909/YET572 BR3/output/YET572_ASH1CLB2Q670_SRL1cal610_SUN4Q570_03
3450,YET572_BR3_41_04,YET572,ΔSHE3,BR3,04,41,../../240909/YET572 BR3/output/YET572_ASH1CLB2Q670_SRL1cal610_SUN4Q570_04
3451,YET572_BR3_42_04,YET572,ΔSHE3,BR3,04,42,../../240909/YET572 BR3/output/YET572_ASH1CLB2Q670_SRL1cal610_SUN4Q570_04
3862,YET572_BR3_166_05,YET572,ΔSHE3,BR3,05,166,../../240909/YET572 BR3/output/YET572_ASH1CLB2Q670_SRL1cal610_SUN4Q570_05
4587,YET572_BR3_150_02,YET572,ΔSHE3,BR3,02,150,../../240909/YET572 BR3/output/YET572_ASH1CLB2Q670_SRL1cal610_SUN4Q570_02
20600,YET572_BR4_132_04,YET572,ΔSHE3,BR4,04,132,../../250820/YET572 BR4/output/YET572_BR1_ASH1CLB2Q670_SRL1cal610_SUN4Q570_04
20849,YET572_BR4_42_05,YET572,ΔSHE3,BR4,05,42,../../250820/YET572 BR4/output/YET572_BR1_ASH1CLB2Q670_SRL1cal610_SUN4Q570_05
21139,YET572_BR4_120_06,YET572,ΔSHE3,BR4,06,120,../../250820/YET572 BR4/output/YET572_BR1_ASH1CLB2Q670_SRL1cal610_SUN4Q570_06
21738,YET572_BR5_77_01,YET572,ΔSHE3,BR5,01,77,../../250820/YET572 BR5/output/YET572_BR2_ASH1CLB2Q670_SRL1cal610_SUN4Q570_01
21756,YET572_BR5_106_01,YET572,ΔSHE3,BR5,01,106,../../250820/YET572 BR5/output/YET572_BR2_ASH1CLB2Q670_SRL1cal610_SUN4Q570_01
21958,YET572_BR5_141_02,YET572,ΔSHE3,BR5,02,141,../../250820/YET572 BR5/output/YET572_BR2_ASH1CLB2Q670_SRL1cal610_SUN4Q570_02
22134,YET572_BR5_23_03,YET572,ΔSHE3,BR5,03,23,../../250820/YET572 BR5/output/YET572_BR2_ASH1CLB2Q670_SRL1cal610_SUN4Q570_03
22137,YET572_BR5_28_03,YET572,ΔSHE3,BR5,03,28,../../250820/YET572 BR5/output/YET572_BR2_ASH1CLB2Q670_SRL1cal610_SUN4Q570_03
22187,YET572_BR5_102_03,YET572,ΔSHE3,BR5,03,102,../../250820/YET572 BR5/output/YET572_BR2_ASH1CLB2Q670_SRL1cal610_SUN4Q570_03
22193,YET572_BR5_110_03,YET572,ΔSHE3,BR5,03,110,../../250820/YET572 BR5/output/YET572_BR2_ASH1CLB2Q670_SRL1cal610_SUN4Q570_03
22391,YET572_BR5_26_04,YET572,ΔSHE3,BR5,04,26,../../250820/YET572 BR5/output/YET572_BR2_ASH1CLB2Q670_SRL1cal610_SUN4Q570_04
22718,YET572_BR5_53_06,YET572,ΔSHE3,BR5,06,53,../../250820/YET572 BR5/output/YET572_BR2_ASH1CLB2Q670_SRL1cal610_SUN4Q570_06
24308,YET572_BR1_268_02,YET572,ΔSHE3,BR1,02,268,../../220601/yET572 BR1/output/yET572-BR1-SUN4Q570-SRL1CFR610-ASH1Q670_02
31147,YET572_BR2_149_04,YET572,ΔSHE3,BR2,04,149,../../220601/yET572 BR2/output/yET572-BR2-SUN4Q570-SRL1CFR610-ASH1Q670_04
