row_id,uid,strain,condition,replicate,fov,image_cell_id,source_folder
3098,YET572_BR3_30_03,YET572,ΔSHE3,BR3,03,30,../../240909/YET572 BR3/output/YET572_ASH1CLB2Q670_SRL1cal610_SUN4Q570_03
3138,YET572_BR3_102_03,YET572,ΔSHE3,BR3,03,102,../../240909/YET572 BR3/output/YET572_ASH1CLB2Q670_SRL1cal610_SUN4Q570_03
3470,YET572_BR3_75_04,YET572,ΔSHE3,BR3,04,75,../../240909/YET572 BR3/output/YET572_ASH1CLB2Q670_SRL1cal610_SUN4Q570_04
3756,YET572_BR3_31_05,YET572,ΔSHE3,BR3,05,31,../../240909/YET572 BR3/output/YET572_ASH1CLB2Q670_SRL1cal610_SUN4Q570_05
3769,YET572_BR3_47_05,YET572,ΔSHE3,BR3,05,47,../../240909/YET572 BR3/output/YET572_ASH1CLB2Q670_SRL1cal610_SUN4Q570_05
4192,YET572_BR3_65_01,YET572,ΔSHE3,BR3,01,65,../../240909/YET572 BR3/output/YET572_ASH1CLB2Q670_SRL1cal610_SUN4Q570_01
4201,YET572_BR3_83_01,YET572,ΔSHE3,BR3,01,83,../../240909/YET572 BR3/output/YET572_ASH1CLB2Q670_SRL1cal610_SUN4Q570_01
4260,YET572_BR3_188_01,YET572,ΔSHE3,BR3,01,188,../../240909/YET572 BR3/output/YET572_ASH1CLB2Q670_SRL1cal610_SUN4Q570_01
20140,YET572_BR4_99_02,YET572,ΔSHE3,BR4,02,99,../../250820/YET572 BR4/output/YET572_BR1_ASH1CLB2Q670_SRL1cal610_SUN4Q570_02
20146,YET572_BR4_112_02,YET572,ΔSHE3,BR4,02,112,../../250820/YET572 BR4/output/YET572_BR1_ASH1CLB2Q670_SRL1cal610_SUN4Q570_02
20562,YET572_BR4_70_04,YET572,ΔSHE3,BR4,04,70,../../250820/YET572 BR4/output/YET572_BR1_ASH1CLB2Q670_SRL1cal610_SUN4Q570_04
20853,YET572_BR4_50_05,YET572,ΔSHE3,BR4,05,50,../../250820/YET572 BR4/output/YET572_BR1_ASH1CLB2Q670_SRL1cal610_SUN4Q570_05
24302,YET572_BR1_211_02,YET572,ΔSHE3,BR1,02,211,../../220601/yET572 BR1/output/yET572-BR1-SUN4Q570-SRL1CFR610-ASH1Q670_02
24368,YET572_BR1_62_05,YET572,ΔSHE3,BR1,05,62,../../220601/yET572 BR1/output/yET572-BR1-SUN4Q570-SRL1CFR610-ASH1Q670_05
24407,YET572_BR1_238_05,YET572,ΔSHE3,BR1,05,238,../../220601/yET572 BR1/output/yET572-BR1-SUN4Q570-SRL1CFR610-ASH1Q670_05
24408,YET572_BR1_240_05,YET572,ΔSHE3,BR1,05,240,../../220601/yET572 BR1/output/yET572-BR1-SUN4Q570-SRL1CFR610-ASH1Q670_05
24540,YET572_BR1_74_04,YET572,ΔSHE3,BR1,04,74,../../220601/yET572 BR1/output/yET572-BR1-SUN4Q570-SRL1CFR610-ASH1Q670_04
31309,YET572_BR2_22_01,YET572,ΔSHE3,BR2,01,22,../../220601/yET572 BR2/output/yET572-BR2-SUN4Q570-SRL1CFR610-ASH1Q670_01
31326,YET572_BR2_109_01,YET572,ΔSHE3,BR2,01,109,../../220601/yET572 BR2/output/yET572-BR2-SUN4Q570-SRL1CFR610-ASH1Q670_01
31506,YET572_BR2_122_02,YET572,ΔSHE3,BR2,02,122,../../220601/yET572 BR2/output/yET572-BR2-SUN4Q570-SRL1CFR610-ASH1Q670_02
