row_id,uid,strain,condition,replicate,fov,image_cell_id,source_folder
6069,YET916_BR4_211_05,YET916,ΔSSD1,BR4,05,211,../../240909/YET916 BR4/output/YET916_ASH1CLB2Q670_SRL1cal610_SUN4Q570_05
6681,YET916_BR4_35_06,YET916,ΔSSD1,BR4,06,35,../../240909/YET916 BR4/output/YET916_ASH1CLB2Q670_SRL1cal610_SUN4Q570_06
6720,YET916_BR4_81_06,YET916,ΔSSD1,BR4,06,81,../../240909/YET916 BR4/output/YET916_ASH1CLB2Q670_SRL1cal610_SUN4Q570_06
6734,YET916_BR4_98_06,YET916,ΔSSD1,BR4,06,98,../../240909/YET916 BR4/output/YET916_ASH1CLB2Q670_SRL1cal610_SUN4Q570_06
6845,YET916_BR4_239_06,YET916,ΔSSD1,BR4,06,239,../../240909/YET916 BR4/output/YET916_ASH1CLB2Q670_SRL1cal610_SUN4Q570_06
7255,YET916_BR4_20_01,YET916,ΔSSD1,BR4,01,20,../../240909/YET916 BR4/output/YET916_ASH1CLB2Q670_SRL1cal610_SUN4Q570_01
7794,YET916_BR4_61_02,YET916,ΔSSD1,BR4,02,61,../../240909/YET916 BR4/output/YET916_ASH1CLB2Q670_SRL1cal610_SUN4Q570_02
7851,YET916_BR4_133_02,YET916,ΔSSD1,BR4,02,133,../../240909/YET916 BR4/output/YET916_ASH1CLB2Q670_SRL1cal610_SUN4Q570_02
7872,YET916_BR4_160_02,YET916,ΔSSD1,BR4,02,160,../../240909/YET916 BR4/output/YET916_ASH1CLB2Q670_SRL1cal610_SUN4Q570_02
7982,YET916_BR4_282_02,YET916,ΔSSD1,BR4,02,282,../../240909/YET916 BR4/output/YET916_ASH1CLB2Q670_SRL1cal610_SUN4Q570_02
8935,YET916_BR4_37_04,YET916,ΔSSD1,BR4,04,37,../../240909/YET916 BR4/output/YET916_ASH1CLB2Q670_SRL1cal610_SUN4Q570_04
8974,YET916_BR4_83_04,YET916,ΔSSD1,BR4,04,83,../../240909/YET916 BR4/output/YET916_ASH1CLB2Q670_SRL1cal610_SUN4Q570_04
9111,YET916_BR4_239_04,YET916,ΔSSD1,BR4,04,239,../../240909/YET916 BR4/output/YET916_ASH1CLB2Q670_SRL1cal610_SUN4Q570_04
9143,YET916_BR4_276_04,YET916,ΔSSD1,BR4,04,276,../../240909/YET916 BR4/output/YET916_ASH1CLB2Q670_SRL1cal610_SUN4Q570_04
9157,YET916_BR4_293_04,YET916,ΔSSD1,BR4,04,293,../../240909/YET916 BR4/output/YET916_ASH1CLB2Q670_SRL1cal610_SUN4Q570_04
28476,YET916_BR3_14_02,YET916,ΔSSD1,BR3,02,14,../../220601/yET916 BR3/output/yET916-SUN4Q570-SRL1CFR610-ASH1CLB2Q670_02
29000,YET916_BR3_10_05,YET916,ΔSSD1,BR3,05,10,../../220601/yET916 BR3/output/yET916-SUN4Q570-SRL1CFR610-ASH1CLB2Q670_05
29080,YET916_BR3_114_05,YET916,ΔSSD1,BR3,05,114,../../220601/yET916 BR3/output/yET916-SUN4Q570-SRL1CFR610-ASH1CLB2Q670_05
35047,YET916_BR1_50_29,YET916,ΔSSD1,BR1,29,50,../../220429/yET916 BR1/output/yET916-ASH1CLB2Q670-SRL1CFL610-SUN4Q570_29
35377,YET916_BR1_58_32,YET916,ΔSSD1,BR1,32,58,../../220429/yET916 BR1/output/yET916-ASH1CLB2Q670-SRL1CFL610-SUN4Q570_32
