row_id,uid,strain,condition,replicate,fov,image_cell_id,source_folder
6687,YET916_BR4_43_06,YET916,ΔSSD1,BR4,06,43,../../240909/YET916 BR4/output/YET916_ASH1CLB2Q670_SRL1cal610_SUN4Q570_06
6780,YET916_BR4_165_06,YET916,ΔSSD1,BR4,06,165,../../240909/YET916 BR4/output/YET916_ASH1CLB2Q670_SRL1cal610_SUN4Q570_06
7387,YET916_BR4_175_01,YET916,ΔSSD1,BR4,01,175,../../240909/YET916 BR4/output/YET916_ASH1CLB2Q670_SRL1cal610_SUN4Q570_01
8473,YET916_BR4_20_03,YET916,ΔSSD1,BR4,03,20,../../240909/YET916 BR4/output/YET916_ASH1CLB2Q670_SRL1cal610_SUN4Q570_03
9029,YET916_BR4_147_04,YET916,ΔSSD1,BR4,04,147,../../240909/YET916 BR4/output/YET916_ASH1CLB2Q670_SRL1cal610_SUN4Q570_04
9033,YET916_BR4_151_04,YET916,ΔSSD1,BR4,04,151,../../240909/YET916 BR4/output/YET916_ASH1CLB2Q670_SRL1cal610_SUN4Q570_04
26214,YET916_BR2_15_03,YET916,ΔSSD1,BR2,03,15,../../220601/yET916 BR2/output/yET916-SUN4Q570-SRL1CFR610-ASH1CLB2Q670_03
26412,YET916_BR2_5_06,YET916,ΔSSD1,BR2,06,5,../../220601/yET916 BR2/output/yET916-SUN4Q570-SRL1CFR610-ASH1CLB2Q670_06
26530,YET916_BR2_15_07,YET916,ΔSSD1,BR2,07,15,../../220601/yET916 BR2/output/yET916-SUN4Q570-SRL1CFR610-ASH1CLB2Q670_07
28473,YET916_BR3_11_02,YET916,ΔSSD1,BR3,02,11,../../220601/yET916 BR3/output/yET916-SUN4Q570-SRL1CFR610-ASH1CLB2Q670_02
28570,YET916_BR3_132_02,YET916,ΔSSD1,BR3,02,132,../../220601/yET916 BR3/output/yET916-SUN4Q570-SRL1CFR610-ASH1CLB2Q670_02
28841,YET916_BR3_54_04,YET916,ΔSSD1,BR3,04,54,../../220601/yET916 BR3/output/yET916-SUN4Q570-SRL1CFR610-ASH1CLB2Q670_04
29091,YET916_BR3_127_05,YET916,ΔSSD1,BR3,05,127,../../220601/yET916 BR3/output/yET916-SUN4Q570-SRL1CFR610-ASH1CLB2Q670_05
35205,YET916_BR1_44_30,YET916,ΔSSD1,BR1,30,44,../../220429/yET916 BR1/output/yET916-ASH1CLB2Q670-SRL1CFL610-SUN4Q570_30
35334,YET916_BR1_1_32,YET916,ΔSSD1,BR1,32,1,../../220429/yET916 BR1/output/yET916-ASH1CLB2Q670-SRL1CFL610-SUN4Q570_32
35376,YET916_BR1_57_32,YET916,ΔSSD1,BR1,32,57,../../220429/yET916 BR1/output/yET916-ASH1CLB2Q670-SRL1CFL610-SUN4Q570_32
35501,YET916_BR1_4_33,YET916,ΔSSD1,BR1,33,4,../../220429/yET916 BR1/output/yET916-ASH1CLB2Q670-SRL1CFL610-SUN4Q570_33
35503,YET916_BR1_10_33,YET916,ΔSSD1,BR1,33,10,../../220429/yET916 BR1/output/yET916-ASH1CLB2Q670-SRL1CFL610-SUN4Q570_33
35742,YET916_BR1_87_31,YET916,ΔSSD1,BR1,31,87,../../220429/yET916 BR1/output/yET916-ASH1CLB2Q670-SRL1CFL610-SUN4Q570_31
35766,YET916_BR1_314_31,YET916,ΔSSD1,BR1,31,314,../../220429/yET916 BR1/output/yET916-ASH1CLB2Q670-SRL1CFL610-SUN4Q570_31
